Rank,Year,Genre,Device,FIFA,Mario,Call of Duty,Grand Theft Auto,Pokemon,Halo,Wii,NBA,NA_Sales As a percentage of Total,EU_Sales As a percentage of Total,JP_Sales As a percentage of Total,Other_Sales As a percentage of Total
13737,1995.0,Racing,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
5044,1996.0,Simulation,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
16388,2010.0,Sports,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
6172,2002.0,Racing,Console,0,0,0,0,0,0,0,0,50.0,39.29,0.0,14.29
3672,2010.0,Shooter,Console,0,0,0,0,0,0,0,0,32.73,38.18,12.73,14.55
15240,2010.0,Puzzle,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
16535,2011.0,Strategy,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
2640,2009.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,88.46,0.0,11.54
15269,2013.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
4150,1996.0,Shooter,Console,0,0,0,0,0,0,0,0,51.06,34.04,8.51,6.38
16119,2010.0,Adventure,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13548,2011.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,100.0,0.0,25.0
16082,2002.0,Puzzle,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
5313,2003.0,Action,Portable,0,0,0,0,0,0,0,0,71.43,25.71,0.0,2.86
2650,2006.0,Sports,Console,0,0,0,0,0,0,0,1,83.33,2.56,0.0,14.1
15673,2007.0,Puzzle,Portable,0,0,0,0,0,0,0,0,50.0,0.0,0.0,0.0
10418,1995.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,90.91,9.09
2420,2001.0,Racing,Console,0,0,0,0,0,0,0,0,55.81,38.37,0.0,6.98
10603,2001.0,Role-Playing,Console,0,0,0,0,0,0,0,0,50.0,40.0,0.0,10.0
1580,2007.0,Action,Portable,0,0,0,0,0,0,0,0,39.68,49.21,0.0,11.11
8640,2001.0,Racing,Portable,0,0,0,0,0,0,0,0,56.25,18.75,25.0,0.0
13052,2014.0,Adventure,PC,0,0,0,0,0,0,0,0,0.0,100.0,0.0,0.0
3703,2005.0,Racing,Console,0,0,0,0,0,0,0,0,50.0,38.89,0.0,12.96
12847,2009.0,Misc,Portable,0,0,0,0,0,0,0,0,0.0,100.0,0.0,20.0
13128,2013.0,Sports,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
8100,1999.0,Misc,Console,0,0,0,0,0,0,0,0,77.78,22.22,0.0,0.0
11001,2011.0,Simulation,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,11.11
7869,2009.0,Puzzle,Console,0,0,0,0,0,0,0,0,94.74,0.0,0.0,5.26
7875,2013.0,Fighting,Console,0,0,0,0,0,0,0,0,57.89,36.84,0.0,10.53
10270,2013.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
7783,2009.0,Action,Portable,0,0,0,0,0,0,0,0,68.42,15.79,0.0,15.79
5033,2002.0,Role-Playing,Console,0,0,0,0,0,0,0,0,18.42,13.16,65.79,5.26
6493,2006.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,3.85
7228,1999.0,Action,Console,0,0,0,0,0,0,0,0,81.82,18.18,0.0,0.0
1400,2011.0,Shooter,Console,0,0,0,0,0,0,0,0,54.68,34.53,1.44,8.63
6394,2008.0,Puzzle,Portable,0,0,0,0,0,0,0,0,88.89,0.0,0.0,7.41
11508,2007.0,Action,Console,0,0,0,0,0,0,0,0,87.5,0.0,0.0,12.5
14155,2011.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
3750,1982.0,Platform,Console,0,0,0,0,0,0,0,0,92.59,5.56,0.0,1.85
8256,2007.0,Action,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
4383,2009.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,13.33,0.0,86.67
15080,2008.0,Puzzle,Console,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
13575,2004.0,Adventure,Console,0,0,0,0,0,0,0,0,50.0,50.0,0.0,25.0
9728,2009.0,Action,Portable,0,0,0,0,0,0,0,0,41.67,8.33,50.0,8.33
3963,2006.0,Adventure,Console,0,0,0,0,0,0,0,0,78.0,20.0,0.0,2.0
5786,1997.0,Simulation,Console,0,0,0,0,0,0,0,0,0.0,0.0,93.55,6.45
14882,2009.0,Simulation,Console,0,0,0,0,0,0,0,0,66.67,0.0,0.0,0.0
15227,2010.0,Adventure,Console,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
6577,1998.0,Racing,Console,0,0,0,0,0,0,0,0,0.0,0.0,92.31,7.69
7440,2003.0,Platform,Portable,0,0,0,0,0,0,0,0,71.43,28.57,0.0,0.0
15082,2011.0,Puzzle,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0
8495,2002.0,Shooter,Console,0,0,0,0,0,0,0,0,81.25,18.75,0.0,0.0
11288,2003.0,Action,Portable,0,0,0,0,0,0,0,0,75.0,25.0,0.0,0.0
352,2016.0,Shooter,Console,0,0,0,0,0,0,0,0,35.46,44.6,4.16,15.79
15581,2010.0,Action,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
8009,2003.0,Role-Playing,Console,0,0,0,0,0,0,0,0,50.0,38.89,0.0,11.11
3524,2007.0,Action,Portable,0,0,0,0,0,0,0,0,36.84,40.35,0.0,22.81
14822,2005.0,Misc,Portable,0,0,0,0,0,0,0,0,66.67,33.33,0.0,0.0
3109,2009.0,Action,Console,0,0,0,0,0,0,0,0,86.15,6.15,0.0,7.69
4821,2009.0,Sports,Console,0,0,0,0,0,0,0,0,92.5,0.0,0.0,7.5
3834,2007.0,Action,Console,0,0,0,0,0,0,0,0,25.0,0.0,0.0,75.0
12830,2002.0,Role-Playing,Portable,0,0,0,0,0,0,0,0,80.0,20.0,0.0,0.0
3990,2013.0,Sports,Portable,1,0,0,0,0,0,0,0,22.0,50.0,2.0,26.0
3566,2004.0,Puzzle,Portable,0,0,0,0,0,0,0,0,71.43,26.79,0.0,1.79
15663,2011.0,Strategy,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
14348,2009.0,Misc,Console,0,0,0,0,0,0,0,0,0.0,66.67,0.0,33.33
14276,,Role-Playing,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
13224,1995.0,Platform,Console,0,0,0,0,0,0,0,0,60.0,40.0,0.0,0.0
14782,1996.0,Platform,Console,0,0,0,0,0,0,0,0,33.33,33.33,0.0,0.0
5082,2005.0,Shooter,Console,0,0,0,0,0,0,0,0,84.21,7.89,0.0,7.89
14571,2008.0,Adventure,PC,0,0,0,0,0,0,0,0,0.0,66.67,0.0,0.0
13310,2002.0,Racing,Portable,0,0,0,0,0,0,0,0,60.0,20.0,0.0,0.0
2409,2012.0,Role-Playing,Console,0,0,0,0,0,0,0,0,22.99,17.24,51.72,8.05
12078,2015.0,Action,Console,0,0,0,0,0,0,0,0,85.71,0.0,0.0,14.29
8086,2014.0,Fighting,Portable,0,0,0,0,0,0,0,0,44.44,0.0,38.89,16.67
234,2009.0,Sports,Console,0,1,0,0,0,0,0,0,41.27,43.45,4.8,10.48
9331,2009.0,Misc,Portable,0,0,0,0,0,0,0,0,100.0,0.0,0.0,7.69
11623,2009.0,Sports,Console,0,0,0,0,0,0,0,0,87.5,0.0,0.0,12.5
9343,2008.0,Sports,Console,0,0,0,0,0,0,0,0,92.31,0.0,7.69,7.69
2235,1991.0,Platform,Console,0,0,0,0,0,0,0,0,54.84,9.68,34.41,1.08
12974,2002.0,Platform,Console,0,0,0,0,0,0,0,0,80.0,20.0,0.0,0.0
13303,2006.0,Strategy,PC,0,0,0,0,0,0,0,0,0.0,80.0,0.0,20.0
478,2010.0,Shooter,Console,0,0,0,0,0,0,0,0,44.78,37.71,2.69,15.15
8871,1998.0,Action,Console,0,0,0,0,0,0,0,0,53.33,40.0,0.0,6.67
16134,2014.0,Misc,Portable,0,0,0,0,0,0,0,0,0.0,0.0,100.0,0.0
12662,2005.0,Shooter,Portable,0,0,0,0,0,0,0,0,83.33,0.0,0.0,0.0
